[[Snapshot 0] [Node /windows/system32/searchindexer.exe_2476] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/searchindexer.exe_2476 | label=0 | frequency=4
[[Snapshot 0] [Node c:"/users/aalsahee] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/eventvwr.msc] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/eventvwr.msc | label=0 | frequency=1
[[Snapshot 0] [Node c:"/users/aalsahee/appdata] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata | label=0 | frequency=1
[[Snapshot 0] [Node /program files/vmware/vmware tools/vmtoolsd.exe_2256] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmtoolsd.exe_2256 | label=0 | frequency=4
[[Snapshot 0] [Node NOPROCESSNAME_1756] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_1756 | label=0 | frequency=1
[[Snapshot 0] [Node c:"/program files/vmware/vmware tools/vmtoolsd.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files/vmware/vmware tools/vmtoolsd.exe | label=0 | frequency=2
[[Snapshot 0] [Node /users/aalsahee/appdata/roaming/microsoft/mmc/eventvwr] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/roaming/microsoft/mmc/eventvwr | label=0 | frequency=1
[[Snapshot 0] [Node /users/aalsahee/appdata/local/microsoft/event viewer/recentviews] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/microsoft/event viewer/recentviews | label=0 | frequency=1
[[Snapshot 0] [Node c:"/programdata/vmware/vmware tools] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/vmware/vmware tools | label=0 | frequency=2
[[Snapshot 0] [Node /program files/vmware/vmware tools/vmtoolsd.exe_1748] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmtoolsd.exe_1748 | label=0 | frequency=3
[[Snapshot 0] [Node NOPROCESSNAME_2396] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_2396 | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/wbem/wmiprvse.exe_2080] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/wbem/wmiprvse.exe_2080 | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/system32/tzres.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/tzres.dll | label=0 | frequency=4
[[Snapshot 0] [Node NOPROCESSNAME_516] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_516 | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/system32/wbem/wmiprvse.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wbem/wmiprvse.exe | label=0 | frequency=1
[[Snapshot 0] [Node /users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000015.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000015.db | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/explorer.exe_1756] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/explorer.exe_1756 | label=0 | frequency=5
[[Snapshot 0] [Node /windows/explorer.exe_1756] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/explorer.exe_1756 | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/explorer.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/explorer.exe | label=0 | frequency=1
[[Snapshot 0] [Node /users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000013.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000013.db | label=0 | frequency=1
[[Snapshot 0] [Node /users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db | label=0 | frequency=1
[[Snapshot 0] [Node c:"/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000015.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000015.db | label=0 | frequency=1
[[Snapshot 0] [Node c:"/users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db | label=0 | frequency=1
[[Snapshot 0] [Node c:"/users/aalsahee/appdata/local/microsoft/windows/caches] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/local/microsoft/windows/caches | label=0 | frequency=1
[[Snapshot 0] [Node /users/aalsahee/appdata/local/iconcache.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/iconcache.db | label=1 | frequency=1
[[Snapshot 0] [Node /windows/system32/logonui.exe_2944] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/logonui.exe_2944 | label=0 | frequency=47
[[Snapshot 0] [Node c:"/windows/system32/en-us/msctf.dll.mui] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/en-us/msctf.dll.mui | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/oleacc.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/oleacc.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/oleaccrc.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/oleaccrc.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/uiautomationcore.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/uiautomationcore.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/sxs.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/sxs.dll | label=0 | frequency=6
[[Snapshot 0] [Node NOPROCESSNAME_4] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_4 | label=0 | frequency=3
[[Snapshot 0] [Node NOPROCESSNAME] type=2 | type_name=FILE_OBJECT_BLOCK | properties=NOPROCESSNAME | label=0 | frequency=10
[[Snapshot 0] [Node /windows/system32/winlogon.exe_468] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/winlogon.exe_468 | label=0 | frequency=23
[[Snapshot 0] [Node c:"/windows/system32/logonui.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/logonui.exe | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/system32/xmllite.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/xmllite.dll | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/windowscodecs.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/windowscodecs.dll | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/winbrand.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/winbrand.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/branding/basebrd/basebrd.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/branding/basebrd/basebrd.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/mmdevapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/mmdevapi.dll | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/system32/propsys.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/propsys.dll | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/system32/dwmapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dwmapi.dll | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/uxtheme.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/uxtheme.dll | label=0 | frequency=6
[[Snapshot 0] [Node c:"/windows/system32/sechost.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/sechost.dll | label=0 | frequency=20
[[Snapshot 0] [Node c:"/windows/system32/winlogon.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/winlogon.exe | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/imm32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/imm32.dll | label=0 | frequency=17
[[Snapshot 0] [Node c:"/windows/system32/rpcss.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/rpcss.dll | label=0 | frequency=15
[[Snapshot 0] [Node c:"/windows/system32/wkscli.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wkscli.dll | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/system32/samcli.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/samcli.dll | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/win.ini] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/win.ini | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/rasapi32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/rasapi32.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/rasman.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/rasman.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/rtutils.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/rtutils.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/cryptsp.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/cryptsp.dll | label=0 | frequency=19
[[Snapshot 0] [Node c:"/windows/system32/rsaenh.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/rsaenh.dll | label=0 | frequency=12
[[Snapshot 0] [Node c:"/windows/system32/cryptbase.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/cryptbase.dll | label=0 | frequency=20
[[Snapshot 0] [Node c:"/windows/system32/en-us/user32.dll.mui] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/en-us/user32.dll.mui | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/media/windows shutdown.wav] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/media/windows shutdown.wav | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/csrss.exe_412] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/csrss.exe_412 | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/system32/csrss.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/csrss.exe | label=0 | frequency=2
[[Snapshot 0] [Node c:"/windows/system32] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32 | label=0 | frequency=18
[[Snapshot 0] [Node c:"/windows/system32/winsta.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/winsta.dll | label=0 | frequency=13
[[Snapshot 0] [Node c:"/windows/system32/secur32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/secur32.dll | label=0 | frequency=13
[[Snapshot 0] [Node c:"/windows/system32/sspicli.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/sspicli.dll | label=0 | frequency=15
[[Snapshot 0] [Node c:"/windows/system32/credui.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/credui.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/netapi32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/netapi32.dll | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/system32/netutils.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/netutils.dll | label=0 | frequency=8
[[Snapshot 0] [Node c:"/windows/system32/srvcli.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/srvcli.dll | label=0 | frequency=6
[[Snapshot 0] [Node c:"/windows/registration/r000000000006.clb] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/registration/r000000000006.clb | label=0 | frequency=14
[[Snapshot 0] [Node c:"/windows/winsxs/x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/winsxs/x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2 | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/winsxs/x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2/comctl32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/winsxs/x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2/comctl32.dll | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/windowsshell.manifest] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/windowsshell.manifest | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80 | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80/gdiplus.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80/gdiplus.dll | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/globalization/sorting/sortdefault.nls] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/globalization/sorting/sortdefault.nls | label=0 | frequency=17
[[Snapshot 0] [Node /windows/system32/svchost.exe_616] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_616 | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/winlogon.exe_468] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/winlogon.exe_468 | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/system32/rpcrtremote.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/rpcrtremote.dll | label=0 | frequency=18
[[Snapshot 0] [Node c:"/windows/system32/wtsapi32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wtsapi32.dll | label=0 | frequency=10
[[Snapshot 0] [Node c:"/program files/common files/microsoft shared/ink/tiptsf.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files/common files/microsoft shared/ink/tiptsf.dll | label=0 | frequency=3
[[Snapshot 0] [Node /windows/system32/svchost.exe_896] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_896 | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/system32/es.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/es.dll | label=0 | frequency=4
[[Snapshot 0] [Node c:"/windows/fonts/staticcache.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/fonts/staticcache.dat | label=0 | frequency=3
[[Snapshot 0] [Node /windows/system32/taskhost.exe_1652] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/taskhost.exe_1652 | label=0 | frequency=18
[[Snapshot 0] [Node c:"/windows/system32/taskhost.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/taskhost.exe | label=0 | frequency=2
[[Snapshot 0] [Node /windows/system32/dwm.exe_1740] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/dwm.exe_1740 | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/dwm.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dwm.exe | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/cscapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/cscapi.dll | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/svchost.exe_920] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_920 | label=0 | frequency=7
[[Snapshot 0] [Node c:"/windows/system32/davclnt.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/davclnt.dll | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/imageres.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/imageres.dll | label=0 | frequency=2
[[Snapshot 0] [Node c:"/windows/system32/version.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/version.dll | label=0 | frequency=6
[[Snapshot 0] [Node c:"/windows/system32/authz.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/authz.dll | label=0 | frequency=5
[[Snapshot 0] [Node c:"/windows/system32/cscobj.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/cscobj.dll | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/lsass.exe_524] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/lsass.exe_524 | label=0 | frequency=27
[[Snapshot 0] [Node c:"/windows/system32/lsass.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/lsass.exe | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/logonui.exe_2456] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/logonui.exe_2456 | label=0 | frequency=46
[[Snapshot 0] [Node c:"/windows/system32/wininit.exe_420] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wininit.exe_420 | label=0 | frequency=1
[[Snapshot 0] [Node /windows/softwaredistribution/datastore/logs/edb.chk] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/softwaredistribution/datastore/logs/edb.chk | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/svchost.exe_920] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/svchost.exe_920 | label=0 | frequency=6
[[Snapshot 0] [Node /windows/softwaredistribution/datastore/datastore.edb] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/softwaredistribution/datastore/datastore.edb | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/svchost.exe_636] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_636 | label=0 | frequency=2
[[Snapshot 0] [Node c:"/windows/system32/services.exe_516] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/services.exe_516 | label=0 | frequency=22
[[Snapshot 0] [Node c:"/windows/system32/wuaueng.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wuaueng.dll | label=0 | frequency=2
[[Snapshot 0] [Node /windows/system32/csrss.exe_356] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/csrss.exe_356 | label=0 | frequency=3
[[Snapshot 0] [Node c:"/windows/system32/wer.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wer.dll | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/kbdus.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/kbdus.dll | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/wininit.exe_420] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/wininit.exe_420 | label=0 | frequency=12
[[Snapshot 0] [Node c:"/windows/system32/wininit.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wininit.exe | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/powrprof.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/powrprof.dll | label=0 | frequency=6
[[Snapshot 0] [Node /windows/system32/services.exe_516] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/services.exe_516 | label=0 | frequency=19
[[Snapshot 0] [Node c:"/windows/system32/wmsgapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wmsgapi.dll | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/services.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/services.exe | label=0 | frequency=2
[[Snapshot 0] [Node NOPROCESSNAME_356] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_356 | label=0 | frequency=1
[[Snapshot 0] [Node NOPROCESSNAME_420] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_420 | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/winevt/logs/microsoft-windows-windowsupdateclient0x3e5operational.evtx] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/winevt/logs/microsoft-windows-windowsupdateclient0x3e5operational.evtx | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/svchost.exe_828] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/svchost.exe_828 | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/serviceprofiles/localservice/appdata/local] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/serviceprofiles/localservice/appdata/local | label=0 | frequency=2
[[Snapshot 0] [Node c:"/programdata/microsoft/search/data/applications/windows] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/search/data/applications/windows | label=0 | frequency=1
[[Snapshot 0] [Node /windows/system32/svchost.exe_360] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_360 | label=0 | frequency=2
[[Snapshot 0] [Node c:"/windows/system32/csrss.exe_356] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/csrss.exe_356 | label=0 | frequency=1
[[Snapshot 0] [Node /windows/serviceprofiles/localservice/appdata/local/microsoft/windows/bluetooth/bthservsdp.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/serviceprofiles/localservice/appdata/local/microsoft/windows/bluetooth/bthservsdp.dat | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/svchost.exe_360] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/svchost.exe_360 | label=0 | frequency=1
[[Snapshot 0] [Node NOPROCESSNAME_828] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_828 | label=0 | frequency=3
[[Snapshot 0] [Node /windows/serviceprofiles/localservice/appdata/local] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/serviceprofiles/localservice/appdata/local | label=0 | frequency=2
[[Snapshot 0] [Node c:"/windows/system32/svchost.exe_896] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/svchost.exe_896 | label=0 | frequency=3
[[Snapshot 0] [Node /windows/system32/catroot2/{f750e6c3-38ee-11d1-85e5-00c04fc295ee}/catdb] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/catroot2/{f750e6c3-38ee-11d1-85e5-00c04fc295ee}/catdb | label=0 | frequency=1
[[Snapshot 0] [Node c:"/windows/system32/svchost.exe_1164] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/svchost.exe_1164 | label=0 | frequency=7
[[Snapshot 0] [Node /windows/system32/catroot2/edb.chk] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/catroot2/edb.chk | label=0 | frequency=1
[[Snapshot 0] [Node /windows/serviceprofiles/localservice/appdata/local/lastalive0.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/serviceprofiles/localservice/appdata/local/lastalive0.dat | label=0 | frequency=2
