Variant_ID,Model,Condition,Strategy,Description,R1,R2,R3,Mean,UsabilityFlag
GPT4o-NoOp-032,GPT-4o,w/o Op Legality,Rewriting,node->scp decode shell history,4,4,4,4.0,Y
GPT4o-NoOp-033,GPT-4o,w/o Op Legality,Replacement,cron->ruby transfer credential store,5,4,5,4.67,Y
GPT4o-NoOp-034,GPT-4o,w/o Op Legality,Extension,wget->node transfer shell history,5,5,5,5.0,Y
GPT4o-NoOp-035,GPT-4o,w/o Op Legality,Extension,scp->curl enumerate service,4,4,4,4.0,Y
GPT4o-NoOp-036,GPT-4o,w/o Op Legality,Rewriting,perl->python access auth log,5,5,5,5.0,Y
GPT4o-NoOp-037,GPT-4o,w/o Op Legality,Rewriting,ruby->ssh modify archive,4,4,4,4.0,Y
GPT4o-NoOp-038,GPT-4o,w/o Op Legality,Rewriting,python->wget access auth log,3,3,3,3.0,N
GPT4o-NoOp-039,GPT-4o,w/o Op Legality,Rewriting,perl->tar execute cache,4,4,3,3.67,N
GPT4o-NoOp-040,GPT-4o,w/o Op Legality,Rewriting,cron->python enumerate config,3,3,3,3.0,N
GPT4o-NoOp-041,GPT-4o,w/o Op Legality,Rewriting,tar->perl stage credential store,4,4,4,4.0,Y
GPT4o-NoOp-042,GPT-4o,w/o Op Legality,Extension,scp->ssh decode shell history,4,1,3,2.67,N
GPT4o-NoOp-043,GPT-4o,w/o Op Legality,Rewriting,tar->curl stage cache,5,5,5,5.0,Y
GPT4o-NoOp-044,GPT-4o,w/o Op Legality,Extension,bash->tar stage auth log,5,5,5,5.0,Y
GPT4o-NoOp-045,GPT-4o,w/o Op Legality,Rewriting,curl->python decode service,3,4,4,3.67,N
GPT4o-NoOp-046,GPT-4o,w/o Op Legality,Replacement,curl->ruby enumerate service,4,4,4,4.0,Y
GPT4o-NoOp-047,GPT-4o,w/o Op Legality,Replacement,wget->bash execute archive,1,4,4,3.0,N
GPT4o-NoOp-048,GPT-4o,w/o Op Legality,Rewriting,scp->perl decode config,2,2,2,2.0,N
GPT4o-NoOp-049,GPT-4o,w/o Op Legality,Replacement,node->tar access network socket,3,3,3,3.0,N
GPT4o-NoOp-050,GPT-4o,w/o Op Legality,Rewriting,perl->scp execute shell history,3,3,3,3.0,N
GPT4o-NoOp-051,GPT-4o,w/o Op Legality,Replacement,python->ruby execute service,3,3,3,3.0,N
GPT4o-NoOp-052,GPT-4o,w/o Op Legality,Rewriting,python->java modify network socket,3,4,4,3.67,N
GPT4o-NoOp-053,GPT-4o,w/o Op Legality,Rewriting,ruby->curl decode config,2,2,2,2.0,N
GPT4o-NoOp-054,GPT-4o,w/o Op Legality,Extension,java->bash transfer shell history,3,3,3,3.0,N
GPT4o-NoOp-055,GPT-4o,w/o Op Legality,Replacement,cron->ruby decode credential store,3,1,2,2.0,N
GPT4o-NoOp-056,GPT-4o,w/o Op Legality,Extension,wget->cron modify cache,4,3,5,4.0,Y
GPT4o-NoOp-057,GPT-4o,w/o Op Legality,Rewriting,ruby->bash transfer archive,3,5,5,4.33,Y
GPT4o-NoOp-058,GPT-4o,w/o Op Legality,Rewriting,perl->ssh access config,3,3,3,3.0,N
GPT4o-NoOp-059,GPT-4o,w/o Op Legality,Replacement,perl->cron stage network socket,1,1,1,1.0,N
GPT4o-NoOp-060,GPT-4o,w/o Op Legality,Rewriting,wget->java enumerate cache,4,4,4,4.0,Y
GPT4o-NoOp-061,GPT-4o,w/o Op Legality,Extension,wget->curl enumerate network socket,3,3,3,3.0,N
GPT4o-NoOp-062,GPT-4o,w/o Op Legality,Extension,java->python enumerate config,4,4,4,4.0,Y
GPT4o-NoOp-063,GPT-4o,w/o Op Legality,Rewriting,wget->bash stage shell history,3,4,4,3.67,N
GPT4o-NoOp-064,GPT-4o,w/o Op Legality,Extension,cron->wget enumerate archive,3,3,3,3.0,N
GPT4o-NoOp-065,GPT-4o,w/o Op Legality,Rewriting,curl->cron copy auth log,2,2,2,2.0,N
GPT4o-NoOp-066,GPT-4o,w/o Op Legality,Rewriting,ssh->wget access credential store,3,3,3,3.0,N
GPT4o-NoOp-067,GPT-4o,w/o Op Legality,Rewriting,curl->node enumerate cache,3,3,3,3.0,N
GPT4o-NoOp-068,GPT-4o,w/o Op Legality,Replacement,java->python access credential store,4,4,3,3.67,N
GPT4o-NoOp-069,GPT-4o,w/o Op Legality,Extension,tar->bash modify network socket,5,5,5,5.0,Y
GPT4o-NoOp-070,GPT-4o,w/o Op Legality,Replacement,bash->cron stage archive,2,2,2,2.0,N
GPT4o-NoOp-071,GPT-4o,w/o Op Legality,Extension,tar->node stage credential store,4,4,4,4.0,Y
GPT4o-NoOp-072,GPT-4o,w/o Op Legality,Replacement,bash->node access archive,5,5,5,5.0,Y
GPT4o-NoOp-073,GPT-4o,w/o Op Legality,Rewriting,bash->curl copy auth log,5,5,5,5.0,Y
GPT4o-NoOp-074,GPT-4o,w/o Op Legality,Rewriting,scp->curl transfer cache,4,4,1,3.0,N
GPT4o-NoOp-075,GPT-4o,w/o Op Legality,Rewriting,wget->curl copy cache,5,5,5,5.0,Y
GPT4o-NoOp-076,GPT-4o,w/o Op Legality,Replacement,scp->ssh enumerate credential store,5,5,5,5.0,Y
GPT4o-NoOp-077,GPT-4o,w/o Op Legality,Extension,python->bash enumerate shell history,2,2,2,2.0,N
GPT4o-NoOp-078,GPT-4o,w/o Op Legality,Replacement,perl->ssh enumerate archive,3,3,3,3.0,N
GPT4o-NoOp-079,GPT-4o,w/o Op Legality,Rewriting,perl->wget copy config,1,1,1,1.0,N
GPT4o-NoOp-080,GPT-4o,w/o Op Legality,Rewriting,python->ruby copy config,3,3,3,3.0,N
GPT4o-NoOp-081,GPT-4o,w/o Op Legality,Extension,perl->ssh execute auth log,4,4,4,4.0,Y
GPT4o-NoOp-082,GPT-4o,w/o Op Legality,Extension,scp->tar access cache,3,5,5,4.33,Y
GPT4o-NoOp-083,GPT-4o,w/o Op Legality,Extension,tar->curl copy service,4,5,5,4.67,Y
GPT4o-NoOp-084,GPT-4o,w/o Op Legality,Extension,perl->ruby transfer cache,5,5,5,5.0,Y
GPT4o-NoOp-085,GPT-4o,w/o Op Legality,Extension,java->tar enumerate credential store,3,3,3,3.0,N
GPT4o-NoOp-086,GPT-4o,w/o Op Legality,Extension,perl->ruby access credential store,4,4,4,4.0,Y
GPT4o-NoOp-087,GPT-4o,w/o Op Legality,Rewriting,perl->bash execute config,2,2,2,2.0,N
GPT4o-NoOp-088,GPT-4o,w/o Op Legality,Replacement,ruby->cron transfer service,4,1,4,3.0,N
GPT4o-NoOp-089,GPT-4o,w/o Op Legality,Extension,bash->curl copy archive,4,4,4,4.0,Y
GPT4o-NoOp-090,GPT-4o,w/o Op Legality,Rewriting,curl->ruby access shell history,5,4,3,4.0,Y
GPT4o-NoOp-091,GPT-4o,w/o Op Legality,Rewriting,scp->python access archive,3,3,3,3.0,N
GPT4o-NoOp-092,GPT-4o,w/o Op Legality,Rewriting,ssh->curl decode archive,1,1,1,1.0,N
GPT4o-NoOp-093,GPT-4o,w/o Op Legality,Replacement,ssh->ruby access shell history,4,4,4,4.0,Y
GPT4o-NoOp-094,GPT-4o,w/o Op Legality,Replacement,tar->ruby access auth log,4,4,4,4.0,Y
GPT4o-NoOp-095,GPT-4o,w/o Op Legality,Rewriting,cron->python copy config,3,4,1,2.67,N
GPT4o-NoOp-096,GPT-4o,w/o Op Legality,Extension,ruby->node enumerate credential store,4,4,4,4.0,Y
GPT4o-NoOp-097,GPT-4o,w/o Op Legality,Replacement,python->tar execute config,4,4,4,4.0,Y
GPT4o-NoOp-098,GPT-4o,w/o Op Legality,Extension,java->curl modify network socket,2,2,2,2.0,N
GPT4o-NoOp-099,GPT-4o,w/o Op Legality,Extension,bash->curl copy network socket,3,3,3,3.0,N
GPT4o-NoOp-100,GPT-4o,w/o Op Legality,Extension,node->wget transfer auth log,4,4,4,4.0,Y
GPT4o-NoAttr-001,GPT-4o,w/o Attr Feasibility,Rewriting,ssh->python stage archive,4,4,4,4.0,Y
GPT4o-NoAttr-002,GPT-4o,w/o Attr Feasibility,Replacement,curl->python transfer cache,3,5,5,4.33,Y
GPT4o-NoAttr-003,GPT-4o,w/o Attr Feasibility,Replacement,scp->curl enumerate credential store,5,5,5,5.0,Y
GPT4o-NoAttr-004,GPT-4o,w/o Attr Feasibility,Rewriting,wget->java copy network socket,2,2,2,2.0,N
GPT4o-NoAttr-005,GPT-4o,w/o Attr Feasibility,Rewriting,python->node stage service,4,4,4,4.0,Y
GPT4o-NoAttr-006,GPT-4o,w/o Attr Feasibility,Rewriting,ssh->bash enumerate config,3,3,3,3.0,N
GPT4o-NoAttr-007,GPT-4o,w/o Attr Feasibility,Extension,python->perl stage network socket,4,5,3,4.0,Y
GPT4o-NoAttr-008,GPT-4o,w/o Attr Feasibility,Extension,wget->tar transfer network socket,5,5,3,4.33,Y
GPT4o-NoAttr-009,GPT-4o,w/o Attr Feasibility,Rewriting,node->java access service,3,3,3,3.0,N
GPT4o-NoAttr-010,GPT-4o,w/o Attr Feasibility,Extension,bash->ruby execute service,4,4,1,3.0,N
GPT4o-NoAttr-011,GPT-4o,w/o Attr Feasibility,Replacement,tar->java enumerate auth log,3,3,3,3.0,N
GPT4o-NoAttr-012,GPT-4o,w/o Attr Feasibility,Rewriting,java->cron execute auth log,3,5,5,4.33,Y
GPT4o-NoAttr-013,GPT-4o,w/o Attr Feasibility,Replacement,java->scp decode archive,2,2,2,2.0,N
GPT4o-NoAttr-014,GPT-4o,w/o Attr Feasibility,Extension,python->ruby stage cache,5,5,5,5.0,Y
GPT4o-NoAttr-015,GPT-4o,w/o Attr Feasibility,Extension,python->ruby copy credential store,3,3,3,3.0,N
GPT4o-NoAttr-016,GPT-4o,w/o Attr Feasibility,Replacement,python->bash decode archive,3,3,3,3.0,N
GPT4o-NoAttr-017,GPT-4o,w/o Attr Feasibility,Replacement,scp->ssh decode archive,5,5,5,5.0,Y
GPT4o-NoAttr-018,GPT-4o,w/o Attr Feasibility,Extension,ruby->python stage service,4,4,4,4.0,Y
GPT4o-NoAttr-019,GPT-4o,w/o Attr Feasibility,Extension,curl->wget enumerate service,4,4,4,4.0,Y
GPT4o-NoAttr-020,GPT-4o,w/o Attr Feasibility,Extension,scp->ssh transfer service,4,4,4,4.0,Y
GPT4o-NoAttr-021,GPT-4o,w/o Attr Feasibility,Extension,cron->wget access service,1,3,4,2.67,N
GPT4o-NoAttr-022,GPT-4o,w/o Attr Feasibility,Replacement,tar->wget transfer service,5,5,5,5.0,Y
GPT4o-NoAttr-023,GPT-4o,w/o Attr Feasibility,Rewriting,perl->ruby transfer archive,5,5,5,5.0,Y
GPT4o-NoAttr-024,GPT-4o,w/o Attr Feasibility,Extension,ssh->cron enumerate auth log,5,5,5,5.0,Y
GPT4o-NoAttr-025,GPT-4o,w/o Attr Feasibility,Extension,bash->scp execute network socket,2,2,2,2.0,N
GPT4o-NoAttr-026,GPT-4o,w/o Attr Feasibility,Extension,bash->tar transfer shell history,1,1,1,1.0,N
GPT4o-NoAttr-027,GPT-4o,w/o Attr Feasibility,Replacement,ssh->tar modify credential store,4,1,4,3.0,N
GPT4o-NoAttr-028,GPT-4o,w/o Attr Feasibility,Replacement,cron->curl modify archive,2,2,2,2.0,N
GPT4o-NoAttr-029,GPT-4o,w/o Attr Feasibility,Rewriting,scp->wget transfer network socket,3,3,3,3.0,N
GPT4o-NoAttr-030,GPT-4o,w/o Attr Feasibility,Replacement,perl->ssh transfer cache,5,5,5,5.0,Y
GPT4o-NoAttr-031,GPT-4o,w/o Attr Feasibility,Extension,ruby->java decode archive,5,5,5,5.0,Y
GPT4o-NoAttr-032,GPT-4o,w/o Attr Feasibility,Rewriting,bash->cron access shell history,4,4,4,4.0,Y
GPT4o-NoAttr-033,GPT-4o,w/o Attr Feasibility,Extension,bash->ssh transfer credential store,1,1,1,1.0,N
GPT4o-NoAttr-034,GPT-4o,w/o Attr Feasibility,Rewriting,ssh->tar copy cache,4,4,4,4.0,Y
GPT4o-NoAttr-035,GPT-4o,w/o Attr Feasibility,Replacement,python->perl execute config,3,3,3,3.0,N
GPT4o-NoAttr-036,GPT-4o,w/o Attr Feasibility,Rewriting,scp->wget decode service,5,5,5,5.0,Y
GPT4o-NoAttr-037,GPT-4o,w/o Attr Feasibility,Replacement,python->wget execute config,4,4,4,4.0,Y
GPT4o-NoAttr-038,GPT-4o,w/o Attr Feasibility,Rewriting,bash->curl copy shell history,3,3,3,3.0,N
GPT4o-NoAttr-039,GPT-4o,w/o Attr Feasibility,Extension,ruby->tar access network socket,1,1,1,1.0,N
GPT4o-NoAttr-040,GPT-4o,w/o Attr Feasibility,Rewriting,python->ruby enumerate archive,5,4,4,4.33,Y
GPT4o-NoAttr-041,GPT-4o,w/o Attr Feasibility,Rewriting,tar->wget copy shell history,1,1,1,1.0,N
GPT4o-NoAttr-042,GPT-4o,w/o Attr Feasibility,Replacement,node->perl transfer archive,4,5,5,4.67,Y
GPT4o-NoAttr-043,GPT-4o,w/o Attr Feasibility,Extension,ruby->perl access shell history,3,3,3,3.0,N
GPT4o-NoAttr-044,GPT-4o,w/o Attr Feasibility,Extension,java->ruby enumerate config,2,3,1,2.0,N
GPT4o-NoAttr-045,GPT-4o,w/o Attr Feasibility,Replacement,python->java stage config,3,3,3,3.0,N
GPT4o-NoAttr-046,GPT-4o,w/o Attr Feasibility,Rewriting,java->tar transfer cache,3,3,3,3.0,N
GPT4o-NoAttr-047,GPT-4o,w/o Attr Feasibility,Rewriting,perl->ssh enumerate archive,4,4,4,4.0,Y
GPT4o-NoAttr-048,GPT-4o,w/o Attr Feasibility,Extension,scp->curl modify config,4,1,4,3.0,N
GPT4o-NoAttr-049,GPT-4o,w/o Attr Feasibility,Extension,ruby->tar copy cache,5,4,4,4.33,Y
GPT4o-NoAttr-050,GPT-4o,w/o Attr Feasibility,Extension,python->cron modify credential store,5,4,5,4.67,Y
GPT4o-NoAttr-051,GPT-4o,w/o Attr Feasibility,Replacement,cron->ruby modify config,2,2,2,2.0,N
